date,channel,region,orders,revenue
2025-01-01,线上直营,华东,120,15600.50
2025-01-02,线上直营,华东,98,12890.00
2025-01-03,线上直营,华东,105,14120.75
2025-01-01,线下门店,华东,45,8920.00
2025-01-02,线下门店,华东,52,10100.00
2025-01-03,线下门店,华东,47,9230.00
2025-01-01,分销,华南,30,6120.00
2025-01-02,分销,华南,35,7050.00
2025-01-03,分销,华南,,6890.00
2025-01-04,线上直营,华东,110,14980.00
2025-01-04,线下门店,华东,50,9800.00
2025-01-04,分销,华南,33,6700.00
2025-01-05,线上直营,华东,115,15230.00
2025-01-05,线下门店,华东,48,9450.00
2025-01-05,分销,华南,36,7210.00
2025-01-06,线上直营,华东,118,15680.00
2025-01-06,线下门店,华东,51,9900.00
2025-01-06,分销,华南,34,6900.00
2025-01-07,线上直营,华东,122,16000.00
2025-01-07,线下门店,华东,53,10400.00
2025-01-07,分销,华南,37,7400.00
2025-01-08,线上直营,华东,,16500.00
2025-01-08,线下门店,华东,49,9600.00
2025-01-08,分销,华南,31,6300.00
2025-01-09,线上直营,华北,900,120000.00
2025-01-09,线下门店,华北,55,10800.00
2025-01-09,分销,华北,39,7800.00
2025-01-10,线上直营,华北,126,16800.00
2025-01-10,线下门店,华北,57,11200.00
2025-01-10,分销,华北,40,8100.00
2025-01-03,分销,华南,,6890.00
